Date,Open,High,Low,Close,Volume
2022-07-25,31950.93,32029.03,31821.67,31990.04,265766390
2022-07-26,31950.04,31950.04,31705.36,31761.54,334491551
2022-07-27,31865.05,32336.23,31799.43,32197.59,368000418
2022-07-28,32197.62,32609.54,31982.61,32529.63,353759297
2022-07-29,32515.62,32910.18,32493.02,32845.13,490626216
2022-08-01,32755.71,32972.03,32640.79,32798.4,325871189
2022-08-02,32691.29,32772.93,32387.12,32396.17,320936433
2022-08-03,32514.21,32912.74,32514.21,32812.5,343295632
2022-08-04,32805.69,32829.22,32652.63,32726.82,319099530
2022-08-05,32593.9,32814.61,32489.62,32803.47,276515010
2022-08-08,32877.36,33109.96,32769.1,32832.54,279502059
2022-08-09,32807.36,32877.53,32702.66,32774.41,283763882
2022-08-10,33130.63,33364.41,33130.63,33309.51,319158022
2022-08-11,33451.51,33651.8,33289.83,33336.67,310650630
2022-08-12,33430.72,33767.09,33398.32,33761.05,301347691
2022-08-15,33710.7,33954.71,33582.96,33912.44,264025541
2022-08-16,33924.35,34281.36,33852.57,34152.01,292106975
2022-08-17,34029.55,34161.01,33828.41,33980.32,286440403
2022-08-18,33981.86,34043.83,33844.46,33999.04,284393452
2022-08-19,33904.69,33904.69,33627.09,33706.74,299066404
2022-08-22,33586.59,33586.59,33007.63,33063.61,310655878
2022-08-23,33033.52,33138.26,32858.89,32909.59,255078160
2022-08-24,32899.01,33095.5,32828.56,32969.23,259734294
2022-08-25,33029.27,33306.09,32889.85,33291.78,308882375
2022-08-26,33293.43,33364.7,32278.22,32283.4,353722890
2022-08-29,32188,32325.16,31972.79,32098.99,320328827
2022-08-30,32163.84,32205.66,31647.22,31790.87,330487525
2022-08-31,31827.15,31966.04,31509.59,31510.43,395791149
2022-09-01,31454.58,31677.51,31219.75,31656.42,340333015.74026
2022-09-02,31848.5,32026.9,31182.09,31318.44,306509704
2022-09-06,31343.79,31463.89,31048.46,31145.3,349251416
2022-09-07,31145.63,31644.34,31095.21,31581.28,355462933
2022-09-08,31481.95,31783.37,31321.5,31774.52,344817750
2022-09-09,31876.22,32227.74,31876.22,32151.71,312658451
2022-09-12,32159.49,32504.04,32159.49,32381.34,344256236
2022-09-13,32006.5,32006.5,31018.54,31104.97,435546780
2022-09-14,31141.02,31276.82,30885.02,31135.09,354389873
2022-09-15,31124.68,31277.69,30882.08,30961.82,349847879
2022-09-16,30866.61,30866.61,30550.08,30822.42,627183046
2022-09-19,30722.86,31026.89,30559.37,31019.68,297103102
2022-09-20,30888.53,30888.53,30465.91,30706.23,321727349
2022-09-21,30819.39,31020.79,30181.99,30183.78,356306903
2022-09-22,30204.52,30302.28,29994.53,30076.68,335769833
2022-09-23,29955.65,29955.65,29250.47,29590.41,389920073
2022-09-26,29536.84,29630.77,29161.12,29260.81,374813094
2022-09-27,29419.88,29659.12,28958.22,29134.99,356299259
2022-09-28,29198.92,29811.78,29114.97,29683.74,439769945
2022-09-29,29513.73,29513.73,28997.34,29225.61,395319566
2022-09-30,29123.03,29355.78,28715.85,28725.51,467447554
2022-10-03,28855.25,29647.79,28855.25,29490.89,400351325
2022-10-04,29826.67,30325.05,29826.67,30316.32,379405685
2022-10-05,30078.36,30454.46,29886.44,30273.87,293025281
2022-10-06,30206.13,30329.61,29859.34,29926.94,309524562
2022-10-07,29685.27,29685.27,29142.66,29296.79,370733892
